iter	Passed	Remaining
471	687	769
472	688	767
473	689	765
474	691	763
475	692	761
476	693	760
477	694	758
478	695	756
479	696	754
480	697	752
481	698	750
482	699	749
483	701	747
484	702	746
485	703	744
486	705	742
487	706	741
488	708	740
489	709	738
490	710	736
491	711	734
492	712	732
493	714	731
494	715	729
495	716	727
496	717	726
497	718	724
498	719	722
499	721	721
500	722	719
501	723	717
502	724	716
503	725	714
504	727	712
505	728	711
506	729	709
507	730	707
508	731	706
509	733	704
510	734	703
511	735	701
512	737	700
513	739	698
514	740	697
515	741	695
516	742	694
517	744	692
518	745	690
519	746	689
520	747	687
521	748	685
522	749	683
523	750	682
524	752	680
525	753	678
526	754	676
527	755	675
528	756	673
529	757	671
530	758	670
531	759	668
532	760	666
533	761	664
534	763	663
535	764	661
536	765	659
537	766	658
538	767	656
539	768	654
540	769	653
541	771	651
542	772	650
543	773	648
544	774	646
545	775	645
546	777	643
547	778	641
548	779	640
549	780	638
550	781	636
551	782	635
552	783	633
553	784	631
554	785	630
555	786	628
556	787	626
557	789	625
558	790	623
559	791	621
560	792	620
561	794	619
562	795	617
563	796	616
564	797	614
565	799	612
566	800	611
567	801	609
568	802	607
569	803	606
570	804	604
571	806	603
572	807	601
573	808	599
574	809	598
575	810	596
576	811	595
577	812	593
578	813	591
579	814	590
580	816	588
581	817	586
582	818	585
583	819	583
584	820	582
585	821	580
586	823	579
587	824	577
588	825	576
589	826	574
590	827	572
591	828	571
592	830	569
593	831	568
594	832	566
595	833	564
596	834	563
597	835	561
598	836	560
599	837	558
600	838	556
601	839	555
602	841	553
603	842	552
604	843	550
605	844	549
606	845	547
607	846	546
608	848	544
609	849	542
610	850	541
611	851	539
612	852	538
613	853	536
614	854	535
615	855	533
616	857	532
617	858	530
618	859	528
619	860	527
620	861	525
621	862	524
622	863	522
623	864	520
624	865	519
625	866	517
626	867	516
627	868	514
628	869	513
629	871	511
630	872	510
631	873	508
632	874	506
633	875	505
634	876	503
635	877	502
636	878	500
637	879	499
638	881	497
639	882	496
640	883	494
641	884	493
642	885	491
643	886	490
644	887	488
645	888	487
646	889	485
647	890	483
648	892	482
649	893	481
650	894	479
651	895	477
652	896	476
653	897	474
654	898	473
655	899	471
656	901	470
657	902	468
658	903	467
659	904	465
660	905	464
661	906	462
662	907	461
663	909	460
664	910	458
665	911	457
666	912	455
667	913	454
668	914	452
669	915	451
670	916	449
671	918	448
672	919	446
673	920	445
674	921	443
675	922	442
676	923	440
677	925	439
678	926	437
679	927	436
680	928	434
681	929	433
682	930	431
683	931	430
684	932	428
685	933	427
686	935	426
687	936	424
688	937	423
689	938	421
690	939	420
691	940	418
692	941	417
693	942	415
694	944	414
695	945	412
696	946	411
697	947	409
698	948	408
699	949	406
700	950	405
701	951	404
702	952	402
703	954	401
704	955	399
705	956	398
706	957	396
707	958	395
708	959	393
709	960	392
710	961	390
711	962	389
712	963	387
713	964	386
714	965	384
715	966	383
716	968	382
717	969	380
718	970	379
719	971	377
720	972	376
721	974	375
722	975	373
723	977	372
724	978	371
725	979	369
726	981	368
727	982	367
728	983	365
729	984	364
730	985	362
731	986	361
732	988	359
733	989	358
734	990	357
735	991	355
736	992	354
737	994	352
738	995	351
739	996	350
740	998	348
741	999	347
742	1000	346
743	1002	344
744	1003	343
745	1004	342
746	1006	340
747	1007	339
748	1008	337
749	1009	336
750	1010	335
751	1011	333
752	1013	332
753	1014	331
754	1015	329
755	1017	328
756	1018	326
757	1020	325
758	1021	324
759	1022	322
760	1023	321
761	1024	320
762	1026	318
763	1027	317
764	1028	315
765	1029	314
766	1030	313
767	1031	311
768	1033	310
769	1034	308
770	1035	307
771	1036	306
772	1037	304
773	1038	303
774	1040	301
775	1041	300
776	1042	299
777	1043	297
778	1044	296
779	1045	294
780	1046	293
781	1047	292
782	1049	290
783	1050	289
784	1051	287
785	1052	286
786	1053	285
787	1054	283
788	1056	282
789	1057	281
790	1058	279
791	1059	278
792	1060	276
793	1061	275
794	1063	274
795	1064	272
796	1065	271
797	1066	269
798	1067	268
799	1068	267
800	1070	265
801	1071	264
802	1073	263
803	1074	261
804	1076	260
805	1077	259
806	1078	258
807	1079	256
808	1081	255
809	1082	253
810	1083	252
811	1084	251
812	1086	249
813	1087	248
814	1088	247
815	1089	245
816	1090	244
817	1091	242
818	1093	241
819	1094	240
820	1095	238
821	1096	237
822	1098	236
823	1099	234
824	1100	233
825	1101	232
826	1102	230
827	1104	229
828	1105	227
829	1106	226
830	1107	225
831	1108	223
832	1109	222
833	1111	221
834	1112	219
835	1113	218
836	1114	217
837	1115	215
838	1116	214
839	1118	212
840	1119	211
841	1120	210
842	1121	208
843	1122	207
844	1123	206
845	1124	204
846	1126	203
847	1127	202
848	1128	200
849	1130	199
850	1131	198
851	1133	196
852	1134	195
853	1135	194
854	1137	192
855	1138	191
856	1139	190
857	1141	188
858	1142	187
859	1144	186
860	1145	185
861	1147	183
862	1148	182
863	1149	181
864	1151	179
865	1152	178
866	1153	177
867	1154	175
868	1156	174
869	1157	172
870	1158	171
871	1160	170
872	1161	168
873	1163	167
874	1164	166
875	1166	165
876	1167	163
877	1168	162
878	1169	161
879	1170	159
880	1171	158
881	1172	156
882	1174	155
883	1175	154
884	1176	152
885	1177	151
886	1178	150
887	1179	148
888	1180	147
889	1182	146
890	1183	144
891	1184	143
892	1185	142
893	1186	140
894	1187	139
895	1188	138
896	1190	136
897	1191	135
898	1192	133
899	1193	132
900	1194	131
901	1196	129
902	1197	128
903	1199	127
904	1200	126
905	1202	124
906	1203	123
907	1204	122
908	1206	120
909	1207	119
910	1208	118
911	1209	116
912	1210	115
913	1211	114
914	1213	112
915	1215	111
916	1216	110
917	1218	108
918	1219	107
919	1221	106
920	1222	104
921	1224	103
922	1225	102
923	1227	100
924	1228	99
925	1229	98
926	1231	96
927	1232	95
928	1233	94
929	1234	92
930	1236	91
931	1237	90
932	1239	89
933	1240	87
934	1242	86
935	1243	85
936	1245	83
937	1246	82
938	1247	81
939	1249	79
940	1250	78
941	1251	77
942	1252	75
943	1253	74
944	1254	73
945	1255	71
946	1256	70
947	1257	68
948	1258	67
949	1260	66
950	1261	64
951	1262	63
952	1263	62
953	1264	60
954	1266	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1272	53
960	1273	51
961	1274	50
962	1275	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1282	42
968	1283	41
969	1284	39
970	1286	38
971	1287	37
972	1288	35
973	1289	34
974	1290	33
975	1291	31
976	1292	30
977	1293	29
978	1295	27
979	1296	26
980	1297	25
981	1298	23
982	1300	22
983	1301	21
984	1303	19
985	1304	18
986	1306	17
987	1308	15
988	1310	14
989	1312	13
990	1314	11
991	1315	10
992	1317	9
993	1319	7
994	1320	6
995	1322	5
996	1324	3
997	1325	2
998	1327	1
999	1329	0
